account_article_source_id,time_published,time_created
1364859,1444269796,1444278765
1364860,1444269736,1444278767
1364861,1444269355,1444278769
1364862,1444269185,1444278770
1368551,1444304091,1444304204
1369476,1444310113,1444310171
1369693,1444311510,1444311683
1369904,1444312536,1444312650
1370333,1444314859,1444314985
1370660,1444316544,1444316625
1371464,1444320918,1444320931
1372028,1444323666,1444323841
1372221,1444325190,1444325350
1372220,1444325280,1444325350
1372708,1444329224,1444329336
1372951,1444332050,1444332234
1373428,1444337490,1444337636
1375984,1444363200,1444363597
1375966,1444363200,1444363586
1375968,1444363200,1444363587
1375975,1444363200,1444363594
1375976,1444363200,1444363594
1375977,1444363200,1444363594
1375979,1444363200,1444363596
1375980,1444363200,1444363596
1375981,1444363200,1444363596
1375982,1444363200,1444363596
1375983,1444363200,1444363596
1375969,1444363200,1444363587
1375985,1444363200,1444363597
1375965,1444363200,1444363586
1375967,1444363200,1444363587
1375970,1444363200,1444363589
1375971,1444363200,1444363591
1375972,1444363200,1444363592
1375974,1444363200,1444363594
1375978,1444363200,1444363596
1379251,1444364424,1444387567
1379002,1444385979,1444386158
1379051,1444386303,1444386441
1379173,1444386982,1444387053
1380129,1444393868,1444393939
1380657,1444397390,1444397488
1380878,1444398769,1444398876
1384966,1444410432,1444410592
1385196,1444412457,1444412661
1385349,1444414225,1444414254
1386701,1444432559,1444432708
1387756,1444449600,1444449620
1387757,1444449600,1444449623
1387758,1444449600,1444449625
1387759,1444449600,1444449627
1387760,1444449600,1444449628
1387761,1444449600,1444449630
1387889,1444449996,1444450059
1387902,1444450162,1444450198
1387911,1444450356,1444450411
1387912,1444450340,1444450414
1387915,1444450393,1444450490
1387925,1444450501,1444450623
1387930,1444450656,1444450759
1387931,1444450626,1444450761
1390704,1444485802,1444485878
1390825,1444487915,1444487947
